annee,mesure,libelle_mesure,tranche_age,libelle_age,valeur,statut
1989,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1990,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1991,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1992,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1993,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1994,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1995,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1996,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1997,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1998,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,31.0,
1999,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,32.0,
2000,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,33.0,
2001,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,34.0,
2002,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,33.0,
2003,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,33.0,
2004,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,33.0,
2005,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,32.0,
2006,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,33.0,
2007,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,32.0,
2008,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,33.0,
2009,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,32.0,
2010,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,32.0,
2011,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,31.0,
2012,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,31.0,
2013,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,30.0,
2014,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,29.0,
2015,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,28.0,
2016,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,26.0,
2017,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,25.0,
2018,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,24.0,
2019,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,24.0,
2020,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,23.0,
2021,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,21.0,
2022,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,21.0,
2023,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,20.0,
2024,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,19.0,
2025,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,18.0,
1975,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1976,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1977,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
1978,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y25T34,25-34 ans,0.0,
